PRAY_1	PRAY_2	PRAY_3	PRAY_4	PRAY_5	AWARD_TYPE_1	AWARD_VALUE_1	AWARD_TYPE_2	AWARD_VALUE_2	AWARD_TYPE_3	AWARD_VALUE_3	AWARD_TYPE_4	AWARD_VALUE_4	AWARD_TYPE_5	AWARD_VALUE_5	AWARD_TYPE_6	AWARD_VALUE_6	AWARD_TYPE_7	AWARD_VALUE_7	AWARD_TYPE_8	AWARD_VALUE_8	AWARD_TYPE_9	AWARD_VALUE_9	AWARD_TYPE_10	AWARD_VALUE_10	PRAYWORDS	PRAYTHING
2	2	2	2	1	item	18,1,80,1	effect	880,4,2,1555200,1,0,1	effect	878,7,2,1555200,1,0,1	playertitle	7,28,1,0,2			item	18,1,80,1			repute	5,4,100	achievement	91	achievement	102	<color=blue>Chúng Mộc phùng Kim, lợi Kim nan đoạn! Gặp vận may.<color>	<color=blue>Độ kiếp; các hạ hôm nay tuy gặp phải tử địa, nhưng chiếu theo mệnh trời thì rất tốt về sau.<color>
2	2	2	2	2	item	18,1,80,1	effect	880,5,2,1555200,1,0,1			playertitle	7,47,1,0,2	item	18,1,80,1	item	18,1,80,1			repute	5,4,500	achievement	103			<color=blue>Mộc viết khúc trực, có sự sinh trưởng! Đặc tính phát triển. Ngũ Mộc, là cực điểm của Mộc!<color>	<color=blue>Tầm bảo; các hạ ngày nay gặp phải vận may, nếu tìm kho tàng, ắt thu được vật quý.<color>
2	2	2	2	3	item	18,1,80,1	effect	880,4,2,1555200,1,0,1	effect	876,7,2,1555200,1,0,1	playertitle	7,29,1,0,2			item	18,1,80,1			repute	5,4,100	achievement	102			<color=blue>Cự Mộc tại Thủy, trung lưu để trụ! Mộc không cốt ở to và cốt ở rễ sâu.<color>	<color=blue>Vạn sự giai nghi; Thiên Địa Nhân, tam nguyên quy nhất, có việc nào mà chẳng thành?<color>
2	2	2	2	4	item	18,1,80,1	effect	880,4,2,1555200,1,0,1	effect	879,3,2,1555200,1,0,1	playertitle	7,30,1,0,2			item	18,1,80,1			repute	5,4,100	achievement	102			<color=blue>Cường Mộc đắc Hỏa, phương hóa kỳ ngoan! Thời vận thịnh quá, ngược lại mệnh trời.<color>	<color=blue>Ẩn nhẫn; lạm dụng mệnh số, quá mức làm hại đến lẽ trời, thận trọng với điều đó.<color>
2	2	2	2	5	item	18,1,80,1	effect	880,4,2,1555200,1,0,1	effect	877,7,2,1555200,1,0,1	playertitle	7,31,1,0,2			item	18,1,80,1			repute	5,4,100	achievement	102			<color=blue>Cường lâm chi Thổ, Mộc dĩ vi dưỡng! Trời cao đất rộng, bằng hữu rong chơi phiêu lãng. <color>	<color=blue>Vạn sự giai nghi; biển rộng cá lội tung tăng, trời cao chim bay vô định, bằng hữu có biết chăng.<color>
3	3	3	3	1	item	18,1,80,1	effect	876,8,2,1555200,1,0,1	effect	878,7,2,1555200,1,0,1	playertitle	7,32,1,0,2			item	18,1,80,1			repute	5,4,100	achievement	106			<color=blue>Tam Thủy vi nhất, thế như ba đào! Rửa sạch bùn đất, vàng thật hiện ra.<color>	<color=blue>Đăng cao vọng viễn; đứng một mình trên đỉnh núi, rời khỏi cõi hồng trần gió bụi, trời biển một màu đỏ mặt trời.<color>
3	3	3	3	2	item	18,1,80,1	effect	876,8,2,1555200,1,0,1	effect	880,3,2,1555200,1,0,1	playertitle	7,34,1,0,0	playertitle	7,33,1,0,1	item	18,1,80,1			repute	5,4,100	achievement	106			<color=blue>Cường Thủy đắc Mộc, phương tiết kỳ thế! Cố công gắng sức đi tìm cây quý, rốt cuộc không được.<color>	<color=blue>Tĩnh đình nhàn tọa; Tơ lòng giăng mãi cũng chùng, Xuân hoa thu nguyệt trước thềm rêu lan.<color>
3	3	3	3	3	item	18,1,80,1	effect	876,10,2,1555200,1,0,1			playertitle	7,49,1,0,0	playertitle	7,48,1,0,1	item	18,1,80,1	item	18,1,80,1	repute	5,4,500	achievement	107			<color=blue>Thủy viết nhuận hạ, mát mẻ dễ chịu, đặc tính có chiều hướng đi xuống. Ngũ Thủy, là cực điểm của Thủy.<color>	<color=blue>Tam nhân chi hành; thầy của ta ở bên cạnh, Lộ Khắc hỏi rằng: Hiệp sĩ ngày nay phải học ở thầy mình những điều hay lẽ phải hoặc truyền thụ cho học trò.<color>
3	3	3	3	4	item	18,1,80,1	effect	876,8,2,1555200,1,0,1	effect	879,3,2,1555200,1,0,1	playertitle	7,35,1,0,2			item	18,1,80,1			repute	5,4,100	achievement	106			<color=blue>Nhiều nước gom lại thành biển, chứa đựng vạn vật.<color>	<color=blue>Liễu khước thử sinh duyên; duyên ngàn năm, tình khó được, kiếp này phải nếm trải qua.<color>
3	3	3	3	5	item	18,1,80,1	effect	876,8,2,1555200,1,0,1	effect	877,7,2,1555200,1,0,1	playertitle	7,37,1,0,0	playertitle	7,36,1,0,1	item	18,1,80,1			repute	5,4,100	achievement	106			<color=blue>Thủy vượng đắc Thổ, phương thành trì chiểu! Tình mềm như nước, quấn quýt vấn vương.<color>	<color=blue>Tỷ dực; tình này do trời tác hợp, thành ý của người thật khó mà từ chối, giấc mộng trăm năm.<color>
4	4	4	4	1	item	18,1,80,1	effect	879,4,2,1555200,1,0,1	effect	878,7,2,1555200,1,0,1	playertitle	7,38,1,0,2			item	18,1,80,1			repute	5,4,100	achievement	110			<color=blue>Chúng Hỏa khắc Kim, Kim bất tồn, Thủy nan lưu! Lửa cất ngất trời, khí thế thật mạnh mẽ.<color>	<color=blue>Đoạt tuyệt đại sự; cơ hội hôm nay, không thể để mất, mất rồi khó tìm lại được, thật nan giải khi quyết định.<color>
4	4	4	4	2	item	18,1,80,1	effect	879,4,2,1555200,1,0,1	effect	880,3,2,1555200,1,0,1	playertitle	7,39,1,0,2			item	18,1,80,1			repute	5,4,100	achievement	110			<color=blue>Lửa cháy ào ào, đốt cây tạo thế! Khí thế này, thật giống với khí thế của bậc quân vương.<color>	<color=blue>Dữ hữu hào ẩm; chí lớn sắp thành, chỉ có người tri kỷ là có thể cùng hưởng.<color>
4	4	4	4	3	item	18,1,80,1	effect	879,4,2,1555200,1,0,1	effect	876,7,2,1555200,1,0,1	playertitle	7,40,1,0,2			item	18,1,80,1			repute	5,4,100	achievement	110			<color=blue>Hỏa vượng đắc Thủy, phương thành tương tế! Có được người hiền ở bên thì đó là điều vô cùng may mắn.<color>	<color=blue>Yến quần thần; người anh hùng không phải thánh nhân; sai lầm khó mà tránh khỏi; vì vậy phải có người hiền trợ giúp.<color>
4	4	4	4	4	item	18,1,80,1	effect	879,5,2,1555200,1,0,1			playertitle	7,51,1,0,0	playertitle	7,50,1,0,1	item	18,1,80,1	item	18,1,80,1	repute	5,4,500	achievement	111			<color=blue>Hỏa viết viêm thượng; sức nóng lan tỏa, đặc tính có chiều hướng tăng lên. Ngũ Hỏa, là cực điểm của Hỏa.<color>	<color=blue>Võ học tu luyện; người học võ ngày nay dụng công rèn luyện, ắt sẽ có kết quả!<color>
4	4	4	4	5	item	18,1,80,1	effect	879,4,2,1555200,1,0,1	effect	877,7,2,1555200,1,0,1	playertitle	7,41,1,0,2			item	18,1,80,1			repute	5,4,100	achievement	93	achievement	110	<color=blue>Lửa cháy hừng hực, tráng chí đã toại, đừng quên những người đã mất.<color>	<color=blue>Thu phong tế; cờ bay trong gió thu đỏ như máu, ba ngàn nắm xương trắng, rượu đục này làm sao đem tế được.<color>
5	5	5	5	1	item	18,1,80,1	effect	877,8,2,1555200,1,0,1	effect	878,7,2,1555200,1,0,1	playertitle	7,42,1,0,2			item	18,1,80,1			repute	5,4,100	achievement	114			<color=blue>Cường Thổ đắc Kim, phương chế kỳ ủng! Cái ảnh hưởng lớn nhất đối với đạo đức chính là vật chất.<color>	<color=blue>Hồ bạn đạp thanh; ở mãi trong xó, tất nhiên trong lòng cảm thấy bức bối, bên ngoài cỏ dại um tùm, mây bay lượn lờ, sương như ngọc biếc.<color>
5	5	5	5	2	item	18,1,80,1	effect	877,8,2,1555200,1,0,1	effect	880,3,2,1555200,1,0,1	playertitle	7,43,1,0,2			item	18,1,80,1			repute	5,4,100	achievement	114			<color=blue>Chúng Thổ, sơn dã, Mộc vị chiết! Một màn bụi hồng khó lòng thành núi.<color>	<color=blue>Tuyết y lăng tuyệt đính; biển mây cuồn cuộn, ngỡ cõi Bồng Lai, nhớ nhung trong gió, cõi tiên lòng hoài.<color>
5	5	5	5	3	item	18,1,80,1	effect	877,8,2,1555200,1,0,1	effect	876,7,2,1555200,1,0,1	playertitle	7,44,1,0,2			item	18,1,80,1			repute	5,4,100	achievement	94	achievement	114	<color=blue>Đã lên tiên cảnh, hoài thế làm chi! Lo trước thiên hạ, vui sau thiên hạ.<color>	<color=blue>Quan phàm tình; một thân nhập thế, giúp đỡ trăm dân, khuyên nhủ dỗ dành, như tình ruột thịt.<color>
5	5	5	5	4	item	18,1,80,1	effect	877,8,2,1555200,1,0,1	effect	879,3,2,1555200,1,0,1	playertitle	7,45,1,0,2			item	18,1,80,1			repute	5,4,100	achievement	114			<color=blue>Đa Thổ Hỏa hối, nhiên chúc hỏa thuần thanh! Tu vi đã thâm hậu, đi về phía tây không chút lo lắng.<color>	<color=blue>Thái đan; mở lò luyện, thần đan lóng lánh, uống để lên tiên.<color>
5	5	5	5	5	item	18,1,80,1	effect	877,10,2,1555200,1,0,1			playertitle	7,53,1,0,0	playertitle	7,52,1,0,1	item	18,1,80,1	item	18,1,80,1	repute	5,4,500	achievement	115			<color=blue>Thổ viên giá tường, trồng trọt, đặc tính sinh hoá vạn vật. Ngũ Thổ, là cực điểm của Thổ!<color>	<color=blue>Xuân hoa thu thực; vận số ngày nay những việc thuộc về sinh sản thu hoạch rất thuận lợi.<color>
